Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2018,Chelan,WA,Truck,0,0,0,21759,21759,0.00
May 31 2019,Virginia Beach,VA,Passenger,1,1,2,704,706,0.28
November 30 2018,Montgomery,AL,Passenger,1,0,1,49,50,2.00
July 31 2023,Essex,NJ,Passenger,2,0,2,8,10,20.00
August 31 2022,Lexington,SC,Passenger,1,0,1,23,24,4.17
August 31 2020,District of Columbia,DC,Passenger,1,1,2,187,189,1.06
May 31 2021,Grays Harbor,WA,Truck,0,0,0,21418,21418,0.00
September 30 2024,Grant,WA,Truck,36,0,36,27652,27688,0.13
January 31 2019,Moore,NC,Passenger,0,1,1,182,183,0.55
August 31 2023,Onslow,NC,Passenger,0,1,1,138,139,0.72
April 30 2017,Charles,MD,Passenger,0,1,1,89,90,1.11
May 31 2020,Charleston,SC,Passenger,1,0,1,109,110,0.91
August 31 2022,Autauga,AL,Passenger,1,0,1,13,14,7.14
November 30 2020,Nassau,FL,Passenger,1,0,1,35,36,2.78
December 31 2020,El Dorado,CA,Passenger,1,0,1,38,39,2.56
October 31 2017,Walla Walla,WA,Truck,0,0,0,13254,13254,0.00
July 31 2018,Santa Clara,CA,Passenger,7,0,7,384,391,1.79
July 31 2020,Arapahoe,CO,Passenger,1,0,1,136,137,0.73
August 31 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
May 31 2020,Valencia,NM,Passenger,1,0,1,7,8,12.50
July 31 2017,Thurston,WA,Passenger,417,350,767,186980,187747,0.41
March 31 2017,Klickitat,WA,Passenger,21,23,44,14780,14824,0.30
July 31 2022,Stevens,WA,Passenger,73,54,127,29979,30106,0.42
November 30 2020,San Juan,WA,Passenger,355,106,461,14005,14466,3.19
November 30 2020,Prince George's,MD,Passenger,2,1,3,163,166,1.81
September 30 2020,Ferry,WA,Truck,0,0,0,3581,3581,0.00
July 31 2024,Chesterfield,VA,Passenger,1,0,1,31,32,3.12
December 31 2019,Whitman,WA,Passenger,42,46,88,22660,22748,0.39
May 31 2019,Goochland,VA,Passenger,1,1,2,266,268,0.75
January 31 2023,Hudson,NJ,Passenger,2,0,2,32,34,5.88
January 31 2020,Cowlitz,WA,Truck,0,0,0,29021,29021,0.00
August 31 2020,Denton,TX,Passenger,1,0,1,99,100,1.00
August 31 2024,Kent,DE,Passenger,1,0,1,36,37,2.70
January 31 2023,Deschutes,OR,Passenger,2,0,2,92,94,2.13
December 31 2023,Snohomish,WA,Truck,281,0,281,120493,120774,0.23
May 31 2022,Cowlitz,WA,Passenger,322,175,497,70610,71107,0.70
May 31 2024,Duval,FL,Passenger,1,0,1,205,206,0.49
September 30 2024,Sacramento,CA,Passenger,1,0,1,130,131,0.76
December 31 2019,Lake,CA,Passenger,0,1,1,12,13,7.69
February 29 2020,Twin Falls,ID,Passenger,0,1,1,31,32,3.12
April 30 2023,Orange,NC,Passenger,1,0,1,6,7,14.29
February 29 2024,Newport,RI,Passenger,0,2,2,52,54,3.70
December 31 2020,Island,WA,Truck,0,0,0,21325,21325,0.00
December 31 2019,Travis,TX,Passenger,4,2,6,212,218,2.75
May 31 2019,Manassas,VA,Passenger,0,1,1,8,9,11.11
August 31 2022,Henrico,VA,Passenger,0,1,1,20,21,4.76
January 31 2024,Okanogan,WA,Passenger,172,78,250,26111,26361,0.95
November 30 2018,Nassau,NY,Passenger,3,0,3,39,42,7.14
August 31 2024,Penobscot,ME,Passenger,0,1,1,3,4,25.00
January 31 2024,Sacramento,CA,Truck,1,0,1,30,31,3.23
February 28 2019,Clark,WA,Truck,0,0,0,79941,79941,0.00
June 30 2024,Kootenai,ID,Truck,1,0,1,20,21,4.76
November 30 2018,Fairfax,VA,Passenger,2,1,3,808,811,0.37
July 31 2024,El Paso,CO,Passenger,7,3,10,413,423,2.36
September 30 2022,Alexandria,VA,Passenger,4,0,4,106,110,3.64
September 30 2017,Manassas,VA,Passenger,0,1,1,9,10,10.00
January 31 2024,San Benito,CA,Passenger,1,0,1,6,7,14.29
July 31 2024,Williamsburg,VA,Passenger,0,1,1,2,3,33.33
January 31 2018,King,WA,Truck,8,1,9,184742,184751,0.00
August 31 2021,Goochland,VA,Passenger,4,2,6,249,255,2.35
June 30 2023,Wichita,TX,Passenger,1,0,1,34,35,2.86
November 30 2020,Nueces,TX,Passenger,1,0,1,86,87,1.15
February 28 2023,Pinal,AZ,Passenger,0,1,1,114,115,0.87
January 31 2020,Shasta,CA,Passenger,1,0,1,36,37,2.70
December 31 2019,Spokane,WA,Truck,1,0,1,96341,96342,0.00
March 31 2023,Skamania,WA,Truck,1,0,1,3855,3856,0.03
June 30 2021,Clark,NV,Passenger,6,3,9,680,689,1.31
April 30 2023,Gwinnett,GA,Passenger,1,0,1,59,60,1.67
November 30 2022,Burlington,NJ,Passenger,0,2,2,98,100,2.00
November 30 2017,New London,CT,Passenger,1,0,1,241,242,0.41
December 31 2019,Spartanburg,SC,Passenger,0,1,1,48,49,2.04
December 31 2023,Penobscot,ME,Passenger,0,1,1,5,6,16.67
September 30 2023,Grays Harbor,WA,Passenger,339,206,545,48089,48634,1.12
September 30 2024,Lewis,WA,Passenger,525,408,933,58834,59767,1.56
May 31 2017,Franklin,WA,Truck,0,0,0,18084,18084,0.00
February 28 2023,Mason,WA,Truck,9,0,9,20845,20854,0.04
December 31 2023,Lane,OR,Passenger,0,2,2,67,69,2.90
February 28 2021,Collier,FL,Passenger,1,0,1,21,22,4.55
May 31 2023,Plaquemines,LA,Passenger,1,1,2,18,20,10.00
July 31 2019,Collier,FL,Passenger,1,0,1,20,21,4.76
February 29 2024,Kent,DE,Passenger,1,0,1,39,40,2.50
October 31 2021,Thurston,WA,Passenger,1797,921,2718,196722,199440,1.36
June 30 2018,Whitman,WA,Passenger,19,28,47,22596,22643,0.21
September 30 2018,Kitsap,WA,Truck,1,0,1,53533,53534,0.00
February 28 2021,Kitsap,WA,Truck,0,0,0,54238,54238,0.00
December 31 2021,Arlington,VA,Passenger,1,0,1,144,145,0.69
July 31 2022,Anchorage,AK,Passenger,2,0,2,136,138,1.45
July 31 2020,Riverside,CA,Passenger,3,1,4,633,637,0.63
November 30 2021,Spartanburg,SC,Passenger,0,1,1,48,49,2.04
February 28 2019,Frederick,MD,Passenger,1,1,2,76,78,2.56
September 30 2024,Miami-Dade,FL,Passenger,1,0,1,44,45,2.22
July 31 2021,Walla Walla,WA,Passenger,115,76,191,36530,36721,0.52
December 31 2019,Franklin,WA,Truck,0,0,0,19772,19772,0.00
July 31 2023,Dorchester,SC,Passenger,1,0,1,45,46,2.17
July 31 2019,Benton,WA,Passenger,270,289,559,134109,134668,0.42
August 31 2022,Montgomery,MD,Passenger,4,2,6,207,213,2.82
July 31 2019,Ramsey,MN,Passenger,1,0,1,47,48,2.08
July 31 2019,Kent,MI,Passenger,0,1,1,25,26,3.85
July 31 2024,Marion,OR,Passenger,1,0,1,50,51,1.96
November 30 2019,Washtenaw,MI,Passenger,1,0,1,43,44,2.27
April 30 2023,Currituck,NC,Passenger,1,0,1,19,20,5.00
September 30 2018,Kittitas,WA,Passenger,56,36,92,29194,29286,0.31
April 30 2020,San Juan,WA,Passenger,295,88,383,14146,14529,2.64
January 31 2017,Volusia,FL,Passenger,0,1,1,52,53,1.89
July 31 2023,Washoe,NV,Passenger,2,0,2,58,60,3.33
October 31 2020,Camden,NJ,Passenger,0,1,1,22,23,4.35
March 31 2023,Essex,NJ,Passenger,2,0,2,10,12,16.67
January 31 2024,Cowlitz,WA,Truck,14,0,14,27875,27889,0.05
December 31 2021,Chelan,WA,Truck,0,0,0,23083,23083,0.00
August 31 2021,Charles,MD,Passenger,1,1,2,72,74,2.70
July 31 2022,Bryan,GA,Passenger,0,1,1,37,38,2.63
November 30 2022,Dallas,TX,Passenger,1,0,1,114,115,0.87
June 30 2020,Harford,MD,Passenger,0,1,1,61,62,1.61
March 31 2018,King,WA,Truck,7,1,8,183655,183663,0.00
October 31 2020,Benton,WA,Truck,0,0,0,43048,43048,0.00
February 29 2024,San Diego,CA,Truck,1,0,1,421,422,0.24
October 31 2024,Columbia,WA,Truck,1,0,1,1539,1540,0.06
April 30 2022,Cowlitz,WA,Passenger,314,172,486,70823,71309,0.68
June 30 2017,Jefferson,NY,Passenger,1,1,2,249,251,0.80
December 31 2018,Howard,MD,Passenger,0,1,1,91,92,1.09
July 31 2019,Valencia,NM,Passenger,1,0,1,8,9,11.11
June 30 2021,Montgomery,MD,Passenger,3,1,4,233,237,1.69
April 30 2020,Denver,CO,Passenger,1,0,1,124,125,0.80
July 31 2024,Harris,TX,Passenger,1,2,3,109,112,2.68
November 30 2019,Manassas,VA,Passenger,0,1,1,7,8,12.50
January 31 2021,Spokane,WA,Truck,0,0,0,100814,100814,0.00
October 31 2023,Clark,WA,Truck,122,0,122,81033,81155,0.15
February 29 2020,Kittitas,WA,Truck,0,0,0,14648,14648,0.00
May 31 2023,Lincoln,WA,Truck,0,0,0,4843,4843,0.00
March 31 2017,Lewis,WA,Truck,0,0,0,24819,24819,0.00
December 31 2018,Wahkiakum,WA,Truck,0,0,0,1722,1722,0.00
November 30 2020,Hennepin,MN,Passenger,2,0,2,94,96,2.08
October 31 2019,Goochland,VA,Passenger,3,1,4,283,287,1.39
July 31 2018,Latah,ID,Passenger,0,1,1,77,78,1.28
December 31 2021,New Haven,CT,Passenger,0,2,2,31,33,6.06
July 31 2022,Mercer,NJ,Passenger,0,1,1,11,12,8.33
August 31 2024,Garfield,OK,Passenger,1,0,1,16,17,5.88
February 29 2020,Carroll,NH,Passenger,0,1,1,4,5,20.00
April 30 2022,Eagle,CO,Passenger,1,0,1,6,7,14.29
June 30 2021,Grant,WA,Passenger,107,89,196,66917,67113,0.29
September 30 2023,Grant,WA,Passenger,328,149,477,67293,67770,0.70
December 31 2017,Jefferson,WA,Passenger,121,74,195,24273,24468,0.80
January 31 2024,Wahkiakum,WA,Passenger,32,22,54,3041,3095,1.74
July 31 2024,Walla Walla,WA,Passenger,312,165,477,35053,35530,1.34
September 30 2024,Kitsap,WA,Truck,191,0,191,50779,50970,0.37
September 30 2022,Yakima,WA,Truck,3,0,3,61345,61348,0.00
